Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(C)	magx	magy	magz
 2000-0-0 0:2:18.980	-0.0591	0.8804	0.4473	0.0	0.0	0.0	62.908	3.532	0.0	36.17	8107	19416	63705
 2000-0-0 0:2:19.95	-0.063	0.8774	0.4512	0.0	0.0	0.0	62.908	3.527	0.0	36.18	8096	19414	63727
 2000-0-0 0:2:19.205	-0.0605	0.8794	0.4492	0.0	0.0	0.0	62.902	3.532	0.0	36.14	8104	19405	63727
 2000-0-0 0:2:19.315	-0.0601	0.8784	0.4487	0.0	0.0	0.0	62.908	3.532	0.0	36.14	8099	19419	63741
 2000-0-0 0:2:19.425	-0.0625	0.8779	0.4526	0.0	0.0	0.0	62.908	3.527	0.0	36.15	8096	19391	63702
 2000-0-0 0:2:19.535	-0.0615	0.8799	0.4473	0.0	0.0	0.0	62.902	3.532	0.0	36.17	8102	19417	63716
 2000-0-0 0:2:19.645	-0.0581	0.8799	0.4487	0.0	0.0	0.0	62.908	3.532	0.0	36.2	8095	19401	63694
 2000-0-0 0:2:19.755	-0.0635	0.8779	0.4521	0.0	0.0	0.0	62.908	3.527	0.0	36.15	8109	19400	63736
 2000-0-0 0:2:19.860	-0.0601	0.8789	0.4492	0.0	0.0	0.0	62.902	3.532	0.0	36.21	8113	19412	63707
 2000-0-0 0:2:19.970	-0.0591	0.8809	0.4468	0.0	0.0	0.0	62.902	3.527	0.0	36.12	8111	19425	63709
 2000-0-0 0:2:20.80	-0.0645	0.8779	0.4536	0.0	0.0	0.0	62.908	3.527	0.0	36.17	8087	19409	63703
 2000-0-0 0:2:20.190	-0.0591	0.8784	0.4512	0.0	0.0	0.0	62.902	3.532	0.0	36.18	8104	19405	63714
 2000-0-0 0:2:20.300	-0.0601	0.8799	0.4448	0.0	0.0	0.0	62.902	3.527	0.0	36.18	8123	19409	63698
 2000-0-0 0:2:20.410	-0.0615	0.8774	0.4512	0.0	0.0	0.0	62.908	3.527	0.0	36.17	8114	19408	63703
 2000-0-0 0:2:20.520	-0.0615	0.8784	0.4497	0.0	0.0	0.0	62.902	3.527	0.0	36.17	8109	19412	63707
 2000-0-0 0:2:20.630	-0.0596	0.8813	0.4478	0.0	0.0	0.0	62.902	3.527	0.0	36.17	8108	19411	63722
 2000-0-0 0:2:20.740	-0.0625	0.8779	0.4512	0.0	0.0	0.0	62.908	3.527	0.0	36.18	8102	19418	63714
 2000-0-0 0:2:20.855	-0.062	0.8789	0.4492	0.0	0.0	0.0	62.902	3.527	0.0	36.15	8099	19405	63716
 2000-0-0 0:2:20.965	-0.0586	0.8789	0.4473	0.0	0.0	0.0	62.902	3.527	0.0	36.15	8098	19411	63722
 2000-0-0 0:2:21.75	-0.0635	0.8774	0.4521	0.0	0.0	0.0	62.908	3.527	0.0	36.18	8110	19412	63709
 2000-0-0 0:2:21.190	-0.0615	0.8789	0.4492	0.0	0.0	0.0	62.902	3.532	0.0	36.18	8098	19400	63703
 2000-0-0 0:2:21.295	-0.0581	0.8804	0.4482	0.0	0.0	0.0	62.902	3.527	0.0	36.15	8122	19404	63727
 2000-0-0 0:2:21.415	-0.063	0.8779	0.4512	0.0	0.0	0.0	62.908	3.527	0.0	36.17	8099	19414	63725
